@relation 'train_Egokituta-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute etiqueta {DESC,ENTY,ABBR,HUM,NUM,LOC}
@attribute text string

@data
HUM,'What is the name of the pop singer whose song became the theme song for a brand of catsup '
NUM,'What chapter of the Bible has the most verses '
DESC,'What is mandibulofacial dysostosis '
HUM,'Who recorded the 1957 hit Tammy '
NUM,'How big is the largest diamond '
DESC,'How does an abacus work '
LOC,'What United States city produces the most oil '
DESC,'Why does tuberculosis afflict people '
ENTY,'Which killer whale died at Sea World of a fungal infection '
DESC,'How do I e-mail someone at aol.com from yahoo.com '
NUM,'What century s the setting for TV s The Adventures of Robin Hood '
LOC,'What is the highest mountain in the world '
NUM,'How many different countries export coffee '
NUM,'When are the Oscars Academy Awards in 1999 '
ENTY,'What D.H. Lawrence novel was originally titled Tenderness '
LOC,'What direction do most baseball pitchers pitch toward '
NUM,'What is the average date when most malls begin putting up Christmas holiday decorations '
DESC,'What do the names Neil '
LOC,'What nationality were the 123 people who died in the Black Hole of Calcutta '
LOC,'What are the Nordic nations '
DESC,'What information can you get me on Fairground Park in St. Louis'
NUM,'How many yards are in 1 mile '
NUM,'What season is the setting for Shakespeare s Midsummer Night s Dream '
HUM,'What title did Suzette Charles assume for two months in 1984 '
ENTY,'What daily newspaper will  help you see clearer across the USA  '
NUM,'What year did Apartheid start '
DESC,'What are my legal rights in an automobile repossession in California '
HUM,'Who wrote Sons and Lovers '
NUM,'When did Lucelly Garcia '
ENTY,'What was Paul Bunyan s ox s name '
NUM,'How many colors are there in a rainbow '
ENTY,'What is a fear of bees '
ENTY,'What tennis term is said to come from the French word for egg '
NUM,'Independent silversmith s account for what percentage of silver production '
ENTY,'What film was based on the play Everybody Comes to Rick s '
ENTY,'What novel inspired the movie BladeRunner '
HUM,'What British monarch s lap did P.T. Barnum s Tom Thumb sit in '
NUM,'How many Beanie Baby sites are there '
HUM,'Who is Karenna Gore '
HUM,'What was Thatcher s first name '
LOC,'Where did the Maya people live '
NUM,'What ratio of children of ages between two and eleven watch  The Simpsons  '
DESC,'How do I increase my biceps  size '
LOC,'What planet would you visit to see Bebrenia '
NUM,'What is the airport code for Los Angeles International '
NUM,'How many Russians have landed on the moon '
HUM,'Who s the lead singer of the Led Zeppelin band '
ENTY,'What European race sees the winner of its mountain stage awarded a jersey with large red polka dots '
LOC,'What is the name of the highest mountain in Africa '
ENTY,'What is a fear of home surroundings '
NUM,'What year did the War of 1812 begin '
HUM,'Who founded the People s Temple Commune '
DESC,'What will happen when sodium is put in water '
HUM,'What s the most common name in nursery rhymes '
ENTY,'What species is a colt '
HUM,'Who was the first American world chess champion '
LOC,'What Russian city used to be called St. Petersburg and Petrograd '
DESC,'What is molybdenum '
DESC,'How do you address a Chinese person '
ABBR,'What does BTU mean '
ENTY,'What s the symbol for the zodiacal sign Gemini '
ENTY,'What two colors are you blind to if you suffer from protanopia '
ENTY,'What basketball maneuver did Bert Loomis invent '
LOC,'What were the first bodies visited by spacecraft '
ENTY,'What five cards make up a perfect Cribbage hand '
ENTY,'What product s ads claim that it  eliminates odors '
ENTY,'What common livestock have the greatest variety of breeds '
ENTY,'What are common methods used to regulate monopolies '
LOC,'Where is the location of the Orange Bowl '
NUM,'How often are brain cells replaced '
ENTY,'What is the name of the rare neurological disease with symptoms such as : involuntary movements '
HUM,'Who were leaders of the Byzantine empire '
DESC,'What is a bone marrow transplant '
NUM,'CNN began broadcasting in what year '
HUM,'Who was the only person convicted in the My Lai Massacre '
ENTY,'What does a chef coddle eggs in '
