@relation 'train_Egokituta-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.instance.Randomize-S1-weka.filters.unsupervised.instance.RemovePercentage-P30.0-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute etiqueta {DESC,ENTY,ABBR,HUM,NUM,LOC}
@attribute text string

@data
ENTY,'What are some colorful flowers that will bloom in the fall in New England '
HUM,'Who is the most sexy celebrity '
HUM,'What chocolate company gives you a one-pound kiss '
ENTY,'What Nevil Shute novel is about the doomed survivors of a nuclear war '
ENTY,'What do West Indian steel bands use as instruments '
DESC,'How do you find the area of a circle '
ENTY,'What does a man suffering from diphallic terata have '
HUM,'Which major diamond producer is based in South Africa '
NUM,'How many cables support the main span of the Golden Gate Bridge '
NUM,'What date is Richard Nixon s birthday '
HUM,'What does Nicholas Cage do for a living '
HUM,'What former African leader held his country s boxing title for nine years '
DESC,'Why do girls have to wear training bras '
LOC,'Where is the Isle of Man '
NUM,'What was the US highway death toll in 1969 '
NUM,'How many islands does Fiji have '
NUM,'What does an average daycare provider get paid in New England '
DESC,'Why do nt you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize '
DESC,'How do microwaves work '
DESC,'What is a nanometer '
ENTY,'What game is fatal to anybody over 21 '
DESC,'What made the Finger Lakes in western New York state '
DESC,'What is an arab strap '
ENTY,'What color eyes are most sensitive to light '
DESC,'How do anti-locking brakes work '
LOC,'What is the oldest website on the Internet '
ENTY,'What do river otters eat '
ENTY,'What was the name of the Crimean meeting of Roosevelt '
HUM,'Who was the first Holy Roman Emperor '
ENTY,'What did the crocodile swallow in Peter Pan '
NUM,'What month s third weekend is the Monterey Jazz Festival held on '
HUM,'Who lives at 39 Stone Canyon Way '
DESC,'What do you need to do to marry someone in jail '
HUM,'Who was considered to be the father of psychology '
HUM,'What buxom blonde appeared on the cover of more than 5 magazines '
DESC,'What incident caused the canning of a summit conference between Eisenhower and Khrushchev '
HUM,'Who was the first Taiwanese President '
HUM,'Who owns CNN '
NUM,'How many degrees cooler is the inside of a cucumber than the air outside '
ENTY,'What is the name of the game that Garry Kasparov plays '
NUM,'How many milligrams are in a gram '
ENTY,'What kind of nuts are used in marzipan '
ENTY,'What is a fear of sinning '
NUM,'How many major Nazi leaders went on trial after the war at Nuremberg '
DESC,'What is paracetamol '
LOC,'What Asian country once thrilled to the sport of cricket fighting '
DESC,'What is the difference between a board of directors and an advisory board '
DESC,'What is the difference between molecules and compounds '
HUM,'Who portrayed Dracula in Hammer Studios  films '
ENTY,'What was the first English play written exclusively for children '
ENTY,'What is the belt of low pressure around the equator called '
ENTY,'What are the seven wonders of the world '
ENTY,'What tale has the moral :  He who wants everything gets nothing  '
HUM,'What company produces Spumante '
LOC,'Where is Los Vegas '
LOC,'What are the largest deserts in the world '
ENTY,'What is a fear of color '
DESC,'What is different about the red and black fox '
DESC,'What is the Order of the Arrow in Boy Scouts '
DESC,'What are faults in the earth s crust '
NUM,'What seven digits follow the area code in the number for long distance information '
DESC,'Where did the energy for the Big Bang come from '
NUM,'What s the percentage of children aged two through eleven who watch  The Simpsons  '
DESC,'What is the difference between a fruit and a vegetable '
HUM,'What are the names of Jacques Cousteau s two sons '
LOC,'What country will hit the year 2 first '
DESC,'What was the claim to fame of Explorer I '
LOC,'Jackson Pollock is of what nationality '
DESC,'What personality traits are Capricorns said to have '
DESC,'What s the last line of Dickens s A Christmas Carol '
HUM,'Who developed the first polio vaccine '
LOC,'What was the former residence of Scottish kings in Edinburgh '
DESC,'How did the months of the year get there name '
HUM,'What is the present Pope named '
DESC,'What is a Guild '
ENTY,'What is the music used in the new VW Beetle commercial where the car spins and changes colors '
LOC,'What Peruvian city is home to the mummified body of Francisco Pizarro '
HUM,'Which company that manufactures video-game hardware sells the  super system  '
NUM,'How long would it take to get from Earth to Mars '
DESC,'What do the figures represent on the Easter Island '
ENTY,'What are the most albums sold by one artist or band '
HUM,'Who manufactures the software '
NUM,'How many people die from tuberculosis each year '
LOC,'Where can I read about Abraham Lincoln '
LOC,'What country offered Albert Einstein its presidency in 1952 '
DESC,'What will the weather be today '
NUM,'How many presidents have died on the 4th of July '
DESC,'Why do magnets attract '
ENTY,'To what does Microsoft s Windows 3 owe its success '
DESC,'What s a male  cuckquean  '
ENTY,'What was the species of Winnie the Pooh '
LOC,'Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights '
ENTY,'What is the name of the Michelangelo painting that shows two hands with fingers touching '
LOC,'What room did WC Fields keep his library in '
NUM,'What are bottle caps with presidents  pictures inside worth '
ENTY,'What is the weakest bone in the body '
ENTY,'What musical instrument did Prewitt play in James Jones s From Here to Eternity '
LOC,'Where can I find info on research being done on oilseeds thru genetics '
HUM,'What TV character sired a horse named Thunder '
NUM,'What year did Hitler die '
ENTY,'What does an ashen-faced eidologist search out the existence of '
HUM,'What was Mao s second name '
HUM,'Who asked you to do the Loco-Motion with her in 1962 '
NUM,'How many people live in the Falklands '
LOC,'Where are diamonds mined '
DESC,'What is the origin of blue for boys and pink for girls '
ENTY,'What is a fear of being alone '
DESC,'What makes salt '
ENTY,'What movie tour of the Roman empire features the admonition :  Row well and live  '
ENTY,'What are the languages spoken by the natives in Afghanistan '
DESC,'How do you determine if a computer monitor has an SVGA adapter '
HUM,'What is Rona Barrett s married name '
LOC,'What island has a park called The Battery at is southern tip '
HUM,'What American League baseball team s worst finish between 1926 and 1964 was fourth '
DESC,'How do you stop junk snail mail '
DESC,'What is the distinction of Erle Stanley Gardner s The Case of the Terrified Typist '
HUM,'What actor learned to play the saxophone and speak Russian for a role in a movie '
NUM,'In what year did Thatcher become prime minister '
DESC,'What good are mosquitoes '
LOC,'In what state was the first co-educational college established'
HUM,'Which police department made the all-time biggest cocaine bust in Ventura County '
HUM,'What cigarette company urged us '
ENTY,'Which came first '
NUM,'How many Grammys did Michael Jackson win in 1983 '
ENTY,'What kind of books does Fodor s publish '
LOC,'What Colorado city owns its own glacier '
DESC,'How do boats float '
ENTY,'What field sport did dentist William Beers promote and write a standard book of rules for '
NUM,'How big is the Chappellet vineyard '
HUM,'What Japanese electronics company was named for a coastal city northeast of Tokyo '
DESC,'What does  intractable plantar keratoma  mean '
ENTY,'What famed tennis tournament s men s singles title was Fred Perry the last Englishman to win '
ENTY,'What is the electronic device used to produce visual displays corresponding to electric signals '
HUM,'Who invented basketball '
ENTY,'What credit card features a centurion on its face '
ENTY,'What is the correct way to mount a roll of toilet paper '
HUM,'Who was the first black woman to star in the Folies Bergeres '
NUM,'When will the millennium officially begin '
DESC,'In Waugh s  A Handful of Dust '
ENTY,'What beer tells us '
HUM,'Who was the inventor of the stove '
HUM,'What s the name of the star of the cooking show '
ABBR,'What does BUD stand for '
NUM,'What time does Wee Willie Winkie run through the town '
DESC,'How do you get dates with the  Hooters  girls '
LOC,'Where did Bill Gates go to college '
HUM,'Who is the worst US President ever '
NUM,'How many species of sharks are there '
HUM,'Name the scar-faced bounty hunter of The Old West '
HUM,'Who wrote  The Pit and the Pendulum  '
NUM,'When was the last major eruption of Mount St Helens '
HUM,'Who is the monarch of the United Kingdom '
DESC,'What is deconstructionism '
DESC,'How is bubble wrap made '
ENTY,'What are some ways to help someone with Chicken Pox '
LOC,'What state did Helen Keller call home '
ENTY,'What is a camel hair brush actually made out of '
DESC,'Why do eyes sometimes look red in photographs '
DESC,'How is plastic made '
HUM,'What is the name of the firm that makes Spumante '
NUM,'How many penny-farthings are there on a Trivial Pursuit game board '
DESC,'Why doesn t wwwanswerscom have any answers to my questions '
